LotArea,LivingArea,NumberBedroom,TotalRooms,Neighborhood,YearBuilt,YearRemodAdd,YrSold,MoSold,KitchenQual,Condition1,OverallCond,SalePrice
9600,1308,2,7,Crawfor,1940,1950,2009,6,TA,Norm,7,160000
11414,2019,3,8,BrkSide,1910,1993,2009,10,Gd,RRAn,8,167500
5900,869,2,4,BrkSide,1923,1958,2006,8,Fa,Norm,7,85500
9450,894,3,5,Edwards,1954,1954,2007,5,TA,Norm,5,110000
3182,1266,2,6,Blmngtn,2007,2007,2008,3,Gd,Norm,5,159895
11250,2290,4,9,CollgCr,2002,2002,2008,5,Gd,Norm,5,255900
10880,1164,3,5,Edwards,1950,1950,2008,8,TA,Norm,5,125000
8846,1500,3,6,CollgCr,2005,2006,2006,8,Gd,Norm,5,173900
4712,1230,3,5,BrkSide,1946,1950,2006,8,TA,Feedr,7,121600
9786,1077,3,6,IDOTRR,1922,1950,2006,5,TA,Norm,4,91000
6762,1208,2,6,CollgCr,2006,2006,2010,2,Gd,Norm,5,206000
10206,944,2,4,Edwards,1952,1952,2009,7,Fa,Norm,3,82000
3182,1504,1,7,Blmngtn,2005,2006,2009,5,Gd,Norm,5,181000
8385,985,3,6,CollgCr,1977,1977,2008,11,TA,Norm,8,149900
9825,1664,4,8,Edwards,1965,1965,2010,5,TA,Norm,5,100000
10592,1502,3,7,Crawfor,1923,1996,2007,8,Gd,Norm,7,165000
11883,1504,3,6,CollgCr,1996,1996,2009,6,Gd,Norm,5,203000
10784,1472,3,7,Gilbert,1991,1992,2007,5,Gd,Norm,5,160000
3013,1506,2,6,Blmngtn,2005,2005,2006,4,Gd,Norm,5,213490
7024,1132,2,5,Edwards,2005,2005,2008,6,Gd,Norm,5,176000
7406,1220,2,6,CollgCr,2006,2006,2006,7,Gd,Norm,5,194000
3182,1504,2,7,Blmngtn,2005,2006,2008,5,Gd,Norm,5,191000
7700,882,3,5,CollgCr,1972,1972,2007,3,TA,Norm,5,112500
1680,1218,3,7,BrDale,1972,1972,2006,5,TA,Norm,7,118000
8125,1654,3,6,CollgCr,2002,2002,2006,2,Gd,Norm,5,230000
6305,954,2,5,Crawfor,1938,1950,2007,6,Fa,Norm,7,119750
11500,845,3,5,Edwards,1957,1957,2009,1,TA,Norm,3,84000
9240,2263,3,7,CollgCr,2001,2002,2008,9,Gd,Norm,5,287000
13680,1733,4,8,Edwards,1955,1955,2009,6,TA,Norm,5,139600
9245,990,3,5,CollgCr,1994,1995,2008,2,TA,Norm,5,145000
11100,930,2,6,Edwards,1946,2006,2010,4,Gd,Norm,7,84900
8993,1302,3,6,Gilbert,2007,2007,2007,8,Gd,Norm,5,176485
11175,1316,3,6,CollgCr,2007,2007,2007,10,Gd,Norm,5,200141
8562,1526,4,7,Edwards,1957,2002,2010,5,TA,Norm,6,144500
11367,1989,3,7,CollgCr,2002,2002,2006,11,Gd,Norm,5,255000
11275,1991,3,7,Crawfor,1932,1950,2007,3,TA,Norm,7,220000
18000,894,2,6,IDOTRR,1935,1950,2008,8,TA,Norm,4,81000
14000,2260,3,7,ClearCr,1996,1997,2010,4,Gd,Norm,5,328000
7837,1571,3,7,Gilbert,1993,1994,2009,5,TA,Norm,7,178000
7585,1456,4,7,Edwards,1948,1950,2006,8,TA,Artery,3,91500
7950,1426,3,6,Edwards,1977,1977,2009,7,TA,Norm,6,159500
8556,1240,2,5,CollgCr,2006,2006,2007,5,Gd,Norm,5,194000
13125,1740,3,6,Crawfor,1940,1984,2007,7,TA,Norm,6,219500
4435,848,1,3,CollgCr,2004,2004,2006,5,Gd,Norm,5,155900
8775,990,3,5,CollgCr,1994,1994,2007,4,TA,Norm,5,126000
8749,1459,3,6,CollgCr,2002,2002,2007,9,Gd,Norm,5,192000
13031,1498,3,6,Gilbert,1995,1996,2006,7,TA,Norm,5,187500
2522,1709,3,7,Edwards,2004,2004,2006,4,Gd,Norm,5,137500
9317,1314,3,6,CollgCr,2006,2006,2007,3,Gd,Norm,5,176432
6882,1355,3,7,IDOTRR,1914,2006,2007,3,Gd,Norm,7,127000
6000,1324,3,6,BrkSide,1936,1950,2009,7,TA,Norm,6,128000
2016,1302,3,6,BrDale,1970,1970,2007,4,TA,Norm,5,106000
23257,2021,3,9,Gilbert,2006,2006,2006,9,Gd,Norm,5,274725
8063,1690,3,7,Gilbert,2000,2000,2007,11,TA,Norm,5,181000
8000,1658,3,8,Gilbert,1995,1996,2008,6,TA,Norm,5,188000
7750,1419,3,7,Gilbert,2002,2002,2009,3,Gd,Norm,5,184100
8263,1012,2,6,IDOTRR,1920,1950,2007,5,TA,Norm,5,118400
10084,1552,3,7,CollgCr,2005,2006,2006,7,Gd,Norm,5,212900
8926,960,3,5,Edwards,1956,1956,2009,10,TA,Norm,3,112000
9405,698,2,4,Edwards,1947,2008,2009,6,TA,Norm,9,118000
9125,1482,3,7,Gilbert,1992,1992,2007,7,Gd,Norm,5,163900
3684,1555,2,7,Blmngtn,2007,2007,2009,6,Gd,Norm,5,174000
14572,1530,3,7,Gilbert,2004,2004,2007,11,Gd,Norm,5,259000
11796,1959,4,8,Gilbert,2004,2005,2007,7,Gd,Norm,5,215000
8773,1600,3,7,Gilbert,1997,1997,2007,8,TA,Norm,5,169000
6180,986,2,5,BrkSide,1926,1950,2007,5,TA,Norm,5,102000
8731,1167,3,6,BrkSide,1920,1950,2007,5,TA,Norm,5,144000
9965,2828,4,11,CollgCr,2006,2007,2007,4,Gd,Norm,5,424870
12180,924,2,5,Edwards,1941,1950,2010,7,Fa,Norm,4,80000
6240,1576,3,8,BrkSide,1928,1950,2006,8,TA,Norm,6,149000
12000,1564,3,7,Crawfor,1941,1950,2009,7,Fa,Norm,7,174500
17755,1466,3,6,Edwards,1959,1959,2006,11,Fa,Norm,4,149900
14115,1811,2,6,Crawfor,1956,2004,2006,7,Ex,Norm,7,230000
5890,816,2,5,IDOTRR,1930,2007,2008,6,TA,Norm,8,120500
14778,1640,3,7,Crawfor,1954,2006,2008,11,Gd,PosN,7,224000
10475,1694,3,7,CollgCr,2008,2008,2010,2,Gd,Norm,5,245350
10852,1671,3,7,Gilbert,2000,2000,2006,2,TA,RRAn,5,173000
13728,2108,4,7,Edwards,1935,1986,2008,7,Gd,Norm,7,235000
18030,3086,3,12,ClearCr,1946,1994,2007,3,Ex,Norm,6,200500
16560,2345,4,9,Crawfor,1932,1950,2006,7,TA,Norm,8,239000
7681,1343,3,7,Crawfor,1921,1950,2009,7,TA,Norm,6,154900
8335,1124,3,5,Edwards,1954,1954,2006,4,TA,Norm,5,93000
5587,1652,2,5,Crawfor,2008,2008,2008,11,Gd,Norm,5,392500
9738,1221,4,7,Edwards,1924,1950,2006,3,TA,Norm,7,104900
8935,1660,3,7,CollgCr,2002,2002,2009,7,Gd,Norm,5,195000
7500,1804,3,7,Gilbert,1999,1999,2010,6,Gd,Norm,5,189000
8029,1456,3,8,Gilbert,2005,2005,2008,7,Gd,Norm,5,176000
14054,1863,4,9,Gilbert,2006,2006,2006,11,Gd,Norm,5,219210
9100,1212,3,6,CollgCr,2001,2001,2009,6,Gd,Norm,5,178000
10400,1779,3,6,CollgCr,1998,1998,2009,3,Gd,Norm,5,197900
6000,1348,3,5,BrkSide,1925,1997,2009,5,TA,Norm,8,117000
9750,1630,3,6,CollgCr,2000,2001,2009,10,Gd,Norm,5,213000
9135,1700,3,7,CollgCr,2003,2003,2006,5,Gd,Norm,5,200000
12134,1752,4,8,Gilbert,1988,2005,2010,6,TA,Norm,7,164000
9340,672,2,4,Edwards,1941,1950,2009,8,TA,Norm,6,113000
6240,912,2,3,BrkSide,1947,1950,2006,7,TA,Norm,5,80500
1680,1218,3,7,BrDale,1971,1971,2006,4,TA,Norm,5,91500
15384,1490,3,8,Gilbert,2004,2005,2008,2,Gd,RRAn,5,184000
13132,1784,4,9,Crawfor,1914,1950,2006,7,TA,Norm,5,138887
12393,1948,4,8,CollgCr,2004,2005,2006,9,Gd,Norm,5,195000
8158,1768,3,8,CollgCr,2003,2003,2008,7,Gd,Norm,5,224900
11435,1517,3,7,Crawfor,1929,1950,2006,6,Gd,Norm,7,230000
6931,1656,3,7,Edwards,2003,2004,2008,7,Gd,Norm,5,165400
6240,1367,3,6,BrkSide,1931,1950,2007,11,TA,Norm,6,127500
4060,864,2,4,Edwards,1922,1950,2009,7,TA,Feedr,8,99900
9587,1166,2,5,Gilbert,2005,2005,2008,7,Gd,Norm,5,190000
24682,1675,3,7,Gilbert,1999,1999,2009,6,TA,RRAn,5,181000
11250,1788,5,8,ClearCr,1957,1989,2009,11,TA,Norm,5,161500
13515,1824,3,8,BrkSide,1919,1950,2007,7,TA,Norm,6,180500
14100,3447,4,11,Crawfor,1935,1997,2008,5,Gd,Norm,9,381000
23595,1524,0,4,ClearCr,1979,1979,2010,4,Gd,Norm,6,260000
11512,1357,2,5,Edwards,1959,2006,2008,5,Ex,Norm,7,177000
5362,1250,3,8,Crawfor,1910,2003,2007,11,TA,Norm,6,139000
9473,2031,3,7,CollgCr,2002,2002,2008,3,Gd,Norm,5,237000
7500,1128,2,6,IDOTRR,1920,1950,2010,4,TA,Norm,4,68400
9808,1573,3,6,CollgCr,2002,2002,2009,3,Gd,Norm,5,227000
8800,1040,3,5,CollgCr,1977,2008,2009,9,Gd,Norm,7,150500
6000,1412,4,6,BrkSide,1939,1950,2009,5,TA,Norm,6,132500
36500,1582,4,7,ClearCr,1964,1964,2006,6,TA,Norm,5,190000
1680,1302,3,6,BrDale,1972,1972,2009,2,TA,Norm,7,119500
8172,864,2,5,Edwards,1955,1990,2006,4,TA,Norm,7,115000
3675,1072,2,5,Edwards,2005,2006,2006,6,TA,Norm,5,140000
63887,5642,3,12,Edwards,2008,2008,2008,1,Ex,Feedr,5,160000
10762,1983,3,9,Gilbert,1999,1999,2009,5,Gd,Norm,5,225000
7500,1494,3,7,Crawfor,1942,1950,2009,11,Gd,Norm,7,177500
3363,1708,3,7,Edwards,2004,2004,2006,4,Gd,Norm,5,130000
8072,990,3,5,CollgCr,1994,1995,2009,5,TA,Norm,5,138000
17500,1902,3,7,Crawfor,1959,2002,2010,5,Ex,PosA,8,335000
8814,1274,3,6,CollgCr,2005,2007,2007,1,Gd,Norm,5,203000
8190,948,3,5,Edwards,1954,1954,2007,10,TA,Norm,6,119000
10226,1630,3,8,CollgCr,2008,2008,2009,1,Ex,Norm,5,295493
14781,1787,3,7,CollgCr,2001,2002,2006,8,Gd,Norm,5,275000
10215,948,3,5,Edwards,1954,1954,2007,2,TA,Norm,5,111000
6627,720,2,4,BrkSide,1949,1950,2008,7,TA,Feedr,6,72500
5330,708,2,5,BrkSide,1940,1950,2009,12,Fa,Norm,7,82500
3636,796,2,5,IDOTRR,1922,1950,2008,1,TA,Norm,4,55000
4270,774,3,6,Edwards,1931,2006,2007,5,Gd,Norm,6,79000
9084,1632,3,8,Gilbert,1998,1998,2006,6,TA,Norm,5,176500
10780,954,3,6,CollgCr,1976,1976,2006,7,TA,Norm,5,132500
8877,816,2,3,Edwards,1938,1958,2009,5,TA,Norm,6,100000
7200,1360,2,6,IDOTRR,1938,1995,2006,7,Gd,Norm,6,125500
2368,1365,3,7,BrDale,1970,1970,2009,5,TA,Norm,6,125000
13450,1861,3,8,CollgCr,2002,2002,2006,6,Gd,Norm,5,200000
9560,864,3,5,CollgCr,1972,1972,2006,6,TA,Norm,7,128500
9375,2169,3,7,CollgCr,2002,2002,2007,8,Gd,Norm,5,228500
7558,1913,3,9,Crawfor,1928,1950,2009,3,TA,Norm,6,177000
11103,1456,3,8,CollgCr,2006,2006,2007,7,Gd,Norm,5,155835
6000,1176,2,4,BrkSide,1937,2000,2009,7,TA,Norm,9,134900
10316,1865,3,7,CollgCr,2000,2000,2008,6,Gd,Norm,5,235000
8499,1412,3,6,Gilbert,2006,2007,2007,3,Gd,Norm,5,156932
9179,1790,3,7,CollgCr,1999,1999,2008,6,Gd,Norm,5,193000
4435,848,1,4,CollgCr,2003,2004,2009,6,Gd,Norm,5,144000
10635,1668,3,8,CollgCr,2003,2003,2010,5,Gd,Norm,5,232000
9750,2097,3,8,CollgCr,1998,1998,2006,6,Gd,Norm,6,274300
10998,1604,3,6,Edwards,1941,1960,2009,7,TA,Norm,5,117000
1953,987,2,5,BrDale,1973,1973,2006,6,TA,Norm,5,83000
8212,864,2,5,Edwards,1914,1950,2010,6,TA,Norm,3,58500
9060,1258,2,6,Edwards,1939,1950,2009,10,TA,Norm,5,105000
5436,1154,3,7,IDOTRR,1922,2007,2010,5,Gd,Norm,8,125500
14892,1746,3,7,Gilbert,2006,2007,2009,10,Ex,Norm,5,377500
6000,1218,3,6,BrkSide,1941,1950,2007,3,TA,Norm,6,131000
9100,1525,3,6,CollgCr,2000,2000,2006,9,Gd,Norm,5,235000
4045,1500,2,6,Blmngtn,2006,2006,2006,10,Gd,Norm,5,246578
6120,1513,4,8,BrkSide,1920,2004,2007,5,TA,Norm,8,137500
6000,1158,3,5,BrkSide,1929,1950,2008,7,TA,Norm,7,120000
7415,1593,3,8,Gilbert,2004,2004,2008,4,TA,Norm,5,193000
6762,1294,2,6,CollgCr,2006,2006,2006,7,Gd,Norm,5,193879
3842,1646,2,5,Crawfor,2004,2005,2008,1,Gd,Norm,5,275000
8445,768,2,5,CollgCr,1972,2007,2009,3,TA,Norm,7,133000
12420,1840,3,6,CollgCr,2001,2001,2009,6,Gd,Norm,5,230000
13053,1848,4,8,BrkSide,1923,2000,2008,6,Gd,Norm,7,207000
3635,1569,1,7,Blmngtn,2007,2007,2009,5,Gd,Norm,5,175900
16381,1844,3,7,Crawfor,1969,1969,2006,12,Gd,Norm,5,223000
4435,848,1,3,CollgCr,2003,2003,2008,3,Gd,Norm,5,136500
19690,2201,4,8,Edwards,1966,1966,2006,8,Gd,Norm,7,274970
21930,1838,4,7,Gilbert,2005,2005,2006,7,TA,RRAn,5,192140
10261,1792,3,8,Gilbert,2000,2000,2008,5,TA,Norm,5,186500
11526,2555,3,11,Crawfor,1922,1994,2008,9,TA,Norm,7,191000
4426,848,1,3,CollgCr,2004,2004,2008,5,Gd,Norm,5,149300
8854,952,2,4,BrkSide,1916,1950,2009,5,Fa,Norm,6,121000
8500,1422,3,7,CollgCr,2004,2004,2007,11,Gd,Norm,5,179600
10000,2090,3,8,CollgCr,1995,1996,2007,12,Gd,Norm,5,240000
11767,1346,2,6,Edwards,1910,2000,2007,5,TA,Norm,7,112000
3675,1072,2,5,Edwards,2005,2005,2006,5,TA,Norm,5,145000
7917,1647,3,7,Gilbert,1999,2000,2007,8,TA,Norm,5,175000
9042,2340,4,9,Crawfor,1941,2006,2010,5,Gd,Norm,9,266500
9937,1256,3,6,Edwards,1965,1965,2008,6,TA,Norm,6,147500
